driver,driver_dnf_rate
AIT,0.0
ALB,0.18095238095238095
ALO,0.17117117117117117
BEA,0.0
BOT,0.1342281879194631
COL,0.3333333333333333
DEV,0.18181818181818182
DOO,0.0
ERI,0.19047619047619047
FIT,0.0
GAS,0.16778523489932887
GIO,0.1
GRO,0.2807017543859649
HAM,0.05405405405405406
HAR,0.3333333333333333
HUL,0.1827956989247312
KUB,0.08695652173913043
KVY,0.13157894736842105
LAT,0.21311475409836064
LAW,0.09090909090909091
LEC,0.1610738255033557
MAG,0.2
MAZ,0.2727272727272727
MSC,0.13636363636363635
NOR,0.0859375
OCO,0.1889763779527559
PER,0.1292517006802721
PIA,0.06521739130434782
RAI,0.11392405063291139
RIC,0.1640625
RUS,0.15625
SAI,0.14189189189189189
SAR,0.25
SIR,0.14285714285714285
STR,0.17567567567567569
TSU,0.18888888888888888
VAN,0.14285714285714285
VER,0.11409395973154363
VET,0.13861386138613863
ZHO,0.14705882352941177
