driver,finish_pos,quali_pos,gap_to_pole,constructor,grid_penalty,air_temp,rain,circuit_type_encoded,year,round_number,fp3_long_run_pace,constructor_avg_finish,driver_rolling_avg_finish,constructor_rolling_avg_finish
VET,1,3,0.6739999999999924,Ferrari,0.0,24.11,0,1,2018,1,,,,
HAM,2,1,0.0,Mercedes,0.0,24.11,0,1,2018,1,,,,
RAI,3,2,0.6640000000000015,Ferrari,0.0,24.11,0,1,2018,1,,,,
RIC,4,5,0.9879999999999995,Red Bull Racing,3.0,24.11,0,1,2018,1,,,,
ALO,5,11,2.5279999999999916,McLaren,-1.0,24.11,0,1,2018,1,,,,
VER,6,4,0.7150000000000034,Red Bull Racing,0.0,24.11,0,1,2018,1,,,,
HUL,7,8,2.367999999999995,Renault,-1.0,24.11,0,1,2018,1,,,,
BOT,8,10,0.9249999999999972,Mercedes,5.0,24.11,0,1,2018,1,,,,
VAN,9,12,2.688999999999993,McLaren,-1.0,24.11,0,1,2018,1,,,,
SAI,10,9,2.4129999999999967,Renault,0.0,24.11,0,1,2018,1,3.2039999999999935,,,
PER,11,13,2.840999999999994,Force India,-1.0,24.11,0,1,2018,1,,,,
OCO,12,15,3.622,Force India,-1.0,24.11,0,1,2018,1,,,,
LEC,13,18,3.471999999999994,Sauber,0.0,24.11,0,1,2018,1,,,,
STR,14,14,3.0660000000000025,Williams,-1.0,24.11,0,1,2018,1,4.978499999999997,,,
HAR,15,16,3.367999999999995,Toro Rosso,0.0,24.11,0,1,2018,1,,,,
GRO,16,7,2.174999999999997,Haas F1 Team,-1.0,24.11,0,1,2018,1,3.256999999999991,,,
MAG,17,6,2.022999999999996,Haas F1 Team,-1.0,24.11,0,1,2018,1,1.8784999999999883,,,
GAS,18,20,4.131,Toro Rosso,0.0,24.11,0,1,2018,1,,,,
ERI,19,17,3.391999999999996,Sauber,0.0,24.11,0,1,2018,1,,,,
SIR,20,19,3.7579999999999956,Williams,0.0,24.11,0,1,2018,1,0.0,,,
VET,1,1,0.0,Ferrari,0.0,28.04,0,2,2018,2,0.22100000000000364,2.0,1.0,2.0
BOT,2,3,0.16599999999999682,Mercedes,0.0,28.04,0,2,2018,2,30.0,5.0,8.0,5.0
HAM,3,4,0.26200000000000045,Mercedes,5.0,28.04,0,2,2018,2,2.8840000000000003,5.0,2.0,5.0
GAS,4,6,1.3709999999999951,Toro Rosso,-1.0,28.04,0,2,2018,2,3.3190000000000026,16.5,18.0,16.5
MAG,5,7,1.4000000000000057,Haas F1 Team,-1.0,28.04,0,2,2018,2,15.158999999999992,16.5,17.0,16.5
HUL,6,8,1.6119999999999948,Renault,-1.0,28.04,0,2,2018,2,15.078999999999994,8.5,7.0,8.5
ALO,7,13,2.254000000000005,McLaren,0.0,28.04,0,2,2018,2,1.8245000000000005,7.0,5.0,7.0
VAN,8,14,2.5670000000000073,McLaren,0.0,28.04,0,2,2018,2,2.8619999999999948,7.0,9.0,7.0
ERI,9,17,3.105000000000004,Sauber,0.0,28.04,0,2,2018,2,7.910499999999999,16.0,19.0,16.0
OCO,10,9,1.9159999999999968,Force India,-1.0,28.04,0,2,2018,2,25.608999999999995,11.5,12.0,11.5
SAI,11,10,2.028000000000006,Renault,0.0,28.04,0,2,2018,2,,8.5,10.0,8.5
LEC,12,19,3.4620000000000033,Sauber,0.0,28.04,0,2,2018,2,12.119,16.0,13.0,16.0
GRO,13,16,2.5720000000000027,Haas F1 Team,0.0,28.04,0,2,2018,2,3.304000000000002,16.5,16.0,16.5
STR,14,20,3.5450000000000017,Williams,0.0,28.04,0,2,2018,2,2.435999999999993,17.0,14.0,17.0
SIR,15,18,3.456000000000003,Williams,0.0,28.04,0,2,2018,2,2.581000000000003,17.0,20.0,17.0
PER,16,12,2.1980000000000075,Force India,0.0,28.04,0,2,2018,2,13.438000000000002,11.5,11.0,11.5
HAR,17,11,2.1470000000000056,Toro Rosso,0.0,28.04,0,2,2018,2,3.593999999999994,16.5,15.0,16.5
RAI,18,2,0.14300000000000068,Ferrari,0.0,28.04,0,2,2018,2,0.0,2.0,3.0,2.0
VER,19,15,1.4159999999999968,Red Bull Racing,0.0,28.04,0,2,2018,2,,5.0,6.0,5.0
RIC,20,5,0.4399999999999977,Red Bull Racing,-1.0,28.04,0,2,2018,2,,5.0,4.0,5.0
RIC,1,6,0.8529999999999944,Red Bull Racing,0.0,19.2,0,2,2018,3,,12.25,12.0,12.25
BOT,2,3,0.5300000000000011,Mercedes,0.0,19.2,0,2,2018,3,6.199500000000015,3.75,5.0,3.75
RAI,3,2,0.0870000000000033,Ferrari,0.0,19.2,0,2,2018,3,4.611000000000018,5.75,10.5,5.75
HAM,4,4,0.5799999999999983,Mercedes,0.0,19.2,0,2,2018,3,11.65900000000002,3.75,2.5,3.75
VER,5,5,0.7010000000000076,Red Bull Racing,0.0,19.2,0,2,2018,3,1.240000000000009,12.25,12.5,12.25
HUL,6,7,1.4369999999999976,Renault,0.0,19.2,0,2,2018,3,5.795000000000016,8.5,6.5,8.5
ALO,7,13,2.1370000000000005,McLaren,0.0,19.2,0,2,2018,3,1.362000000000009,7.25,6.0,7.25
VET,8,1,0.0,Ferrari,0.0,19.2,0,2,2018,3,0.0,5.75,1.0,5.75
SAI,9,9,1.7240000000000038,Renault,0.0,19.2,0,2,2018,3,6.14500000000001,8.5,10.5,8.5
MAG,10,11,1.8910000000000053,Haas F1 Team,0.0,19.2,0,2,2018,3,5.943000000000012,12.75,11.0,12.75
OCO,11,12,1.9620000000000033,Force India,0.0,19.2,0,2,2018,3,6.431000000000012,12.25,11.0,12.25
PER,12,8,1.6629999999999967,Force India,0.0,19.2,0,2,2018,3,13.861000000000018,12.25,13.5,12.25
VAN,13,14,2.4099999999999966,McLaren,0.0,19.2,0,2,2018,3,1.708500000000015,7.25,8.5,7.25
STR,14,18,3.1899999999999977,Williams,0.0,19.2,0,2,2018,3,4.090000000000018,15.75,14.0,15.75
SIR,15,16,2.9669999999999987,Williams,0.0,19.2,0,2,2018,3,1.845000000000013,15.75,17.5,15.75
ERI,16,20,3.8190000000000026,Sauber,0.0,19.2,0,2,2018,3,1.548000000000016,13.25,14.0,13.25
GRO,17,10,1.7600000000000051,Haas F1 Team,0.0,19.2,0,2,2018,3,,12.75,14.5,12.75
GAS,18,17,3.0060000000000002,Toro Rosso,0.0,19.2,0,2,2018,3,3.346000000000018,13.5,11.0,13.5
LEC,19,19,3.3589999999999947,Sauber,0.0,19.2,0,2,2018,3,4.814000000000021,13.25,12.5,13.25
HAR,20,15,2.700000000000003,Toro Rosso,0.0,19.2,0,2,2018,3,3.70150000000001,13.5,16.0,13.5
HAM,1,2,0.17900000000000205,Mercedes,0.0,17.1,0,1,2018,4,0.0,3.5,3.0,3.5
RAI,2,6,0.9919999999999902,Ferrari,0.0,17.1,0,1,2018,4,3.5889999999999986,5.666666666666667,8.0,5.666666666666667
PER,3,8,1.0489999999999924,Force India,0.0,17.1,0,1,2018,4,1.0949999999999989,12.0,13.0,12.0
VET,4,1,0.0,Ferrari,0.0,17.1,0,1,2018,4,0.8840000000000003,5.666666666666667,3.3333333333333335,5.666666666666667
SAI,5,10,1.8529999999999944,Renault,-1.0,17.1,0,1,2018,4,2.8440000000000083,8.166666666666666,10.0,8.166666666666666
LEC,6,14,2.5759999999999934,Sauber,-1.0,17.1,0,1,2018,4,21.259,14.666666666666666,14.666666666666666,14.666666666666666
ALO,7,13,2.521000000000001,McLaren,-1.0,17.1,0,1,2018,4,,8.166666666666666,6.333333333333333,8.166666666666666
STR,8,11,2.086999999999989,Williams,-1.0,17.1,0,1,2018,4,,15.333333333333334,14.0,15.333333333333334
VAN,9,16,2.9909999999999997,McLaren,0.0,17.1,0,1,2018,4,26.372000000000014,8.166666666666666,10.0,8.166666666666666
HAR,10,19,10.0,Toro Rosso,0.0,17.1,0,1,2018,4,,15.333333333333334,17.333333333333332,15.333333333333334
ERI,11,18,4.042999999999992,Sauber,0.0,17.1,0,1,2018,4,,14.666666666666666,14.666666666666666,14.666666666666666
GAS,12,17,2.9979999999999905,Toro Rosso,0.0,17.1,0,1,2018,4,2.2510000000000048,15.333333333333334,13.333333333333334,15.333333333333334
MAG,13,15,3.2609999999999957,Haas F1 Team,0.0,17.1,0,1,2018,4,,13.0,10.666666666666666,13.0
BOT,14,3,0.33899999999999864,Mercedes,0.0,17.1,0,1,2018,4,3.653000000000006,3.5,4.0,3.5
GRO,15,20,10.0,Haas F1 Team,0.0,17.1,0,1,2018,4,14.046000000000006,13.0,15.333333333333334,13.0
VER,16,5,0.4959999999999951,Red Bull Racing,0.0,17.1,0,1,2018,4,3.957000000000008,9.166666666666666,10.0,9.166666666666666
RIC,17,4,0.4129999999999967,Red Bull Racing,0.0,17.1,0,1,2018,4,4.536000000000001,9.166666666666666,8.333333333333334,9.166666666666666
HUL,18,9,1.5679999999999978,Renault,5.0,17.1,0,1,2018,4,2.5180000000000007,8.166666666666666,6.333333333333333,8.166666666666666
OCO,19,7,1.0249999999999915,Force India,0.0,17.1,0,1,2018,4,1.3760000000000048,12.0,11.0,12.0
SIR,20,12,2.387999999999991,Williams,-1.0,17.1,0,1,2018,4,19.647000000000006,15.333333333333334,16.666666666666668,15.333333333333334
HAM,1,1,0.0,Mercedes,0.0,15.2,1,2,2018,5,,4.5,2.5,4.5
BOT,2,2,0.03999999999999204,Mercedes,0.0,15.2,1,2,2018,5,0.0,4.5,6.5,4.5
VER,3,5,0.6430000000000007,Red Bull Racing,0.0,15.2,1,2,2018,5,,11.0,11.5,11.0
VET,4,3,0.132000000000005,Ferrari,0.0,15.2,1,2,2018,5,,5.0,3.5,5.0
RIC,5,6,0.644999999999996,Red Bull Racing,0.0,15.2,1,2,2018,5,11.468000000000004,11.0,10.5,11.0
MAG,6,7,1.5030000000000001,Haas F1 Team,0.0,15.2,1,2,2018,5,8.251500000000007,13.25,11.25,13.25
SAI,7,9,1.6170000000000044,Renault,0.0,15.2,1,2,2018,5,19.334000000000003,9.0,8.75,9.0
ALO,8,8,1.5480000000000018,McLaren,0.0,15.2,1,2,2018,5,1.3740000000000094,8.125,6.5,8.125
PER,9,15,2.924999999999997,Force India,0.0,15.2,1,2,2018,5,14.273499999999999,11.75,10.5,11.75
LEC,10,14,2.7369999999999948,Sauber,0.0,15.2,1,2,2018,5,17.171000000000006,13.125,12.5,13.125
STR,11,19,4.0519999999999925,Williams,-1.0,15.2,1,2,2018,5,2.798000000000002,15.0,12.5,15.0
HAR,12,20,10.0,Toro Rosso,0.0,15.2,1,2,2018,5,15.464000000000013,14.25,15.5,14.25
ERI,13,17,3.319999999999993,Sauber,0.0,15.2,1,2,2018,5,,13.125,13.75,13.125
SIR,14,18,3.5219999999999914,Williams,1.0,15.2,1,2,2018,5,2.847999999999999,15.0,17.5,15.0
VAN,15,11,2.1499999999999915,McLaren,0.0,15.2,1,2,2018,5,2.064000000000007,8.125,9.75,8.125
OCO,16,13,2.522999999999996,Force India,0.0,15.2,1,2,2018,5,11.651500000000013,11.75,13.0,11.75
RAI,17,4,0.43899999999999295,Ferrari,0.0,15.2,1,2,2018,5,0.13900000000001,5.0,6.5,5.0
GRO,18,10,1.661999999999992,Haas F1 Team,0.0,15.2,1,2,2018,5,13.033000000000001,13.25,15.25,13.25
GAS,19,12,2.289999999999992,Toro Rosso,0.0,15.2,1,2,2018,5,3.328000000000003,14.25,13.0,14.25
HUL,20,16,2.75,Renault,0.0,15.2,1,2,2018,5,10.084000000000003,9.0,9.25,9.0
RIC,1,1,0.0,Red Bull Racing,0.0,25.59,1,1,2018,6,3.2379999999999995,9.6,9.4,9.6
VET,2,2,0.2289999999999992,Ferrari,0.0,25.59,1,1,2018,6,0.0,6.1,3.6,6.1
HAM,3,3,0.42199999999999704,Mercedes,0.0,25.59,1,1,2018,6,13.009999999999991,3.9,2.2,3.9
RAI,4,4,0.45600000000000307,Ferrari,0.0,25.59,1,1,2018,6,2.090999999999994,6.1,8.6,6.1
BOT,5,5,0.6310000000000002,Mercedes,0.0,25.59,1,1,2018,6,12.456999999999994,3.9,5.6,3.9
OCO,6,6,1.2510000000000048,Force India,0.0,25.59,1,1,2018,6,1.0309999999999917,11.9,13.6,11.9
GAS,7,10,1.4110000000000014,Toro Rosso,0.0,25.59,1,1,2018,6,9.788999999999987,14.5,14.2,14.5
HUL,8,11,1.600999999999999,Renault,0.0,25.59,1,1,2018,6,1.9449999999999932,9.9,11.4,9.9
VER,9,20,10.0,Red Bull Racing,0.0,25.59,1,1,2018,6,6.278999999999996,9.6,9.8,9.6
SAI,10,8,1.3199999999999932,Renault,0.0,25.59,1,1,2018,6,10.261499999999998,9.9,8.4,9.9
ERI,11,17,2.4549999999999983,Sauber,-1.0,25.59,1,1,2018,6,2.7349999999999994,12.8,13.6,12.8
PER,12,9,1.343999999999994,Force India,0.0,25.59,1,1,2018,6,16.1015,11.9,10.2,11.9
MAG,13,19,2.5829999999999984,Haas F1 Team,0.0,25.59,1,1,2018,6,1.8539999999999992,13.0,10.2,13.0
